,id,event_id,type_id,event_name,period_id,min,sec,team_id,outcome,x,y,timestamp,last_modified,version,player_id,keypass,competition_id,game_id,home_team_id,home_team_name,away_team_id,away_team_name,competition_name,season_id,276,328,388,391,Assisted,Big Chance,Blocked x co-ordinate,Blocked y co-ordinate,Box-centre,Close left,From corner,GK X Coordinate,GK Y Coordinate,Goal mouth y co-ordinate,Goal mouth z co-ordinate,Head,High right,Individual Play,Intentional assist,Left,Not past goal line,Out of box-centre,Regular play,Related event ID,Right,Right footed,Set piece,Standing,Swerve Right,Throw-in set piece,Volley,Weak,Zone,assist,Box-left,High,Left footed,Close right,Free kick,Strong,Close high,35+ right,Close right and high,Swerve Left,35+ centre,Box-right,Box-deep left,High left,Small box-right,233,Fast break,Keeper Saved,314,Close left and high,Small box-left,Small box-centre,Out of box-right,389,Out of box-deep right,Other body part,35+ left,Out of box-left,Out of box-deep left,Box-deep right
5,2219216711,226,13,Miss,1,27,40,2030,1,84.9,35.5,2020-10-04T15:58:33.283,2020-10-07T08:08:23,1602054485390,61291,-,99,2133188,2003,CD Nacional,2030,Belenenses,Portuguese Primeira Liga,2020,,-,-,,sim,-,,,-,-,-,1.1,51.6,39.0,94.4,-,,-,sim,-,,-,sim,225,,sim,,sim,,,-,,Center,,,-,-,,,,,,,,,sim,,,,,,,,,,,,,,,,,,
6,2219250859,439,13,Miss,2,50,55,2030,1,78.5,46.0,2020-10-04T16:40:25.928,2020-10-07T07:52:31,1602053568293,70022,-,99,2133188,2003,CD Nacional,2030,Belenenses,Portuguese Primeira Liga,2020,,-,-,,-,-,,,-,sim,-,98.9,50,57.8,13.9,-,,sim,-,-,,sim,-,-,,-,,sim,,,sim,,Center,,,-,sim,,,,,,,,,-,,,,,,,,,,,,,,,,,,
7,2219261849,618,13,Miss,2,65,14,2003,1,76.7,65.4,2020-10-04T16:54:44.189,2020-10-07T08:05:09,1602054176273,202341,-,99,2133188,2003,CD Nacional,2030,Belenenses,Portuguese Primeira Liga,2020,,sim,-,,-,-,,,-,-,sim,2.2,49.3,71.8,11.1,-,,sim,-,sim,,sim,-,-,,-,,sim,,,sim,,Center,,,-,sim,,,,,,,,,-,,,,,,,,,,,,,,,,,,
8,2219281267,825,13,Miss,2,90,5,2003,1,90.6,36.3,2020-10-04T17:19:35.663,2020-10-07T07:53:24,1602053641878,166365,-,99,2133188,2003,CD Nacional,2030,Belenenses,Portuguese Primeira Liga,2020,,sim,sim,,sim,-,,,-,-,-,1.0,53.4,50.6,68.1,sim,,-,sim,-,,-,sim,824,,-,,-,,,-,,Center,,,sim,-,,,,,,,,,sim,,,,,,,,,,,,,,,,,,
9,2219283785,863,13,Miss,2,93,6,2003,1,76.8,41.0,2020-10-04T17:22:36.404,2020-10-07T07:59:21,1602053998358,513583,-,99,2133188,2003,CD Nacional,2030,Belenenses,Portuguese Primeira Liga,2020,,-,-,,sim,-,,,-,sim,-,2.2,51.1,58.5,1.4,-,,sim,-,-,,sim,sim,862,,sim,,sim,,,-,,Center,,,-,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,
0,2295450065,37,13,Miss,1,3,31,201,1,83.7,66.5,2021-05-06T18:33:41.376,2021-05-07T17:32:27,1620405146935,244731,-,99,2133444,251,Benfica,201,FC Porto,Portuguese Primeira Liga,2020,,-,,,sim,,,,-,,-,99.0,49.8,60.3,6.9,-,,sim,-,,,-,-,36,,sim,,,,,,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2295450579,74,13,Miss,1,8,12,201,1,82.1,45.8,2021-05-06T18:38:22.805,2021-05-07T17:48:19,1620406099535,150483,-,99,2133444,251,Benfica,201,FC Porto,Portuguese Primeira Liga,2020,,sim,,,sim,,,,-,,-,99.0,49.8,46.6,62.5,-,,-,-,,,sim,sim,73,,sim,,,,,,,Center,-,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2295454505,278,13,Miss,1,33,52,201,1,89.0,59.1,2021-05-06T19:04:02.407,2021-05-07T18:49:26,1620409765838,150483,-,99,2133444,251,Benfica,201,FC Porto,Portuguese Primeira Liga,2020,,sim,,,-,,,,sim,,-,99.3,48.6,45.5,80.6,-,,-,-,,,-,sim,-,,sim,,,,,,,Center,-,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2295459727,488,13,Miss,2,50,12,201,1,95.7,47.5,2021-05-06T19:41:05.596,2021-05-07T22:13:17,1620411832879,486212,-,99,2133444,251,Benfica,201,FC Porto,Portuguese Primeira Liga,2020,,sim,,,sim,,,,-,,sim,99.1,48.2,33.4,23.6,sim,,-,sim,,,-,-,486,,-,,,,,,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2295462199,615,13,Miss,2,67,35,201,1,92.1,46.9,2021-05-06T19:58:29.354,2021-05-07T22:14:03,1620416939197,202604,-,99,2133444,251,Benfica,201,FC Porto,Portuguese Primeira Liga,2020,,sim,,,sim,,,,sim,,sim,98.9,50,46.6,55.6,sim,,-,sim,,,-,-,614,,-,,,,,,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
